area_id	year	functional_group	tonnes	comp	name_sf	name_sau
1	1957	Pel_SmMd	30419.7409878094	0.439589454623006	East Bering Sea	East Bering Sea
1	1957	Sharks_Rays	0.4275851195	6.17894509888309e-06	East Bering Sea	East Bering Sea
1	1958	Cephs	3.720027366	4.66007382816105e-05	East Bering Sea	East Bering Sea
1	1958	Crusts	3371.146283352	0.0422303091357179	East Bering Sea	East Bering Sea
1	1958	Dem_Lg	7059.9334128659	0.0884397013488425	East Bering Sea	East Bering Sea
1	1958	Dem_SmMd	35125.8746332141	0.440021411040091	East Bering Sea	East Bering Sea
1	1958	Other	132.9159910641	0.00166503702892894	East Bering Sea	East Bering Sea
1	1958	Pel_Lg	9865.0493355915	0.123579354932916	East Bering Sea	East Bering Sea
1	1958	Pel_SmMd	24268.5700645096	0.304012086680208	East Bering Sea	East Bering Sea
1	1958	Sharks_Rays	0.4389798251	5.49909501402099e-06	East Bering Sea	East Bering Sea
1	1959	Cephs	3.7164124078	2.54836339792142e-05	East Bering Sea	East Bering Sea
1	1959	Crusts	5571.5724057824	0.0382045629757486	East Bering Sea	East Bering Sea
1	1959	Dem_Lg	10113.3274464866	0.0693476144943694	East Bering Sea	East Bering Sea
1	1959	Dem_SmMd	81142.3348885768	0.556397228192279	East Bering Sea	East Bering Sea
1	1959	Other	193.9485631212	0.00132991542677068	East Bering Sea	East Bering Sea
1	1959	Pel_Lg	6310.3916594167	0.0432706851846017	East Bering Sea	East Bering Sea
1	1959	Pel_SmMd	42499.5190618249	0.291421421850572	East Bering Sea	East Bering Sea
1	1959	Sharks_Rays	0.4503745307	3.08824167894577e-06	East Bering Sea	East Bering Sea
1	1960	Cephs	3.7665604778	8.92267918461716e-06	East Bering Sea	East Bering Sea
1	1960	Crusts	11743.2869025756	0.027818903273206	East Bering Sea	East Bering Sea
1	1960	Dem_Lg	28716.9614479663	0.06802817468814	East Bering Sea	East Bering Sea
1	1960	Dem_SmMd	278648.219715619	0.66009524725311	East Bering Sea	East Bering Sea
1	1960	Other	219.2472910923	0.000519379219328399	East Bering Sea	East Bering Sea
1	1960	Pel_Lg	7869.8720325989	0.0186430946176884	East Bering Sea	East Bering Sea
1	1960	Pel_SmMd	94133.2383479094	0.222994079436124	East Bering Sea	East Bering Sea
1	1960	Sharks_Rays	798.7602371301	0.00189219883321864	East Bering Sea	East Bering Sea
1	1961	Cephs	3.8306733013	7.47131544337321e-06	East Bering Sea	East Bering Sea
1	1961	Crusts	20562.7557312918	0.0401054390102581	East Bering Sea	East Bering Sea
1	1961	Dem_Lg	39617.5551458035	0.0772697717367546	East Bering Sea	East Bering Sea
1	1961	Dem_SmMd	329581.476035844	0.642813150085307	East Bering Sea	East Bering Sea
1	1961	Other	169.1228051317	0.000329855805082165	East Bering Sea	East Bering Sea
1	1961	Pel_Lg	7584.3089617911	0.0147923772706781	East Bering Sea	East Bering Sea
1	1961	Pel_SmMd	114715.147503135	0.22373953237885	East Bering Sea	East Bering Sea
1	1961	Sharks_Rays	483.1860909946	0.00094240239762706	East Bering Sea	East Bering Sea
1	1962	Cephs	3.8949814337	6.95853372398495e-06	East Bering Sea	East Bering Sea
1	1962	Crusts	25749.9785410072	0.046003324308346	East Bering Sea	East Bering Sea
1	1962	Dem_Lg	49107.6887064024	0.0877327694077979	East Bering Sea	East Bering Sea
1	1962	Dem_SmMd	334301.001039921	0.597241560529962	East Bering Sea	East Bering Sea
1	1962	Other	122.9866066566	0.000219720289964376	East Bering Sea	East Bering Sea
1	1962	Pel_Lg	9234.7534436991	0.0164982412277182	East Bering Sea	East Bering Sea
1	1962	Pel_SmMd	140057.918461318	0.250218843276592	East Bering Sea	East Bering Sea
1	1962	Sharks_Rays	1163.4692420004	0.00207858242589573	East Bering Sea	East Bering Sea
1	1963	Cephs	3.9592895663	7.56406660728579e-06	East Bering Sea	East Bering Sea
1	1963	Crusts	30541.974462189	0.058349237983599	East Bering Sea	East Bering Sea
1	1963	Dem_Lg	42843.3681750836	0.0818505656457069	East Bering Sea	East Bering Sea
1	1963	Dem_SmMd	256087.997242045	0.489246021547107	East Bering Sea	East Bering Sea
1	1963	Other	94.6173062974	0.00018076263305599	East Bering Sea	East Bering Sea
1	1963	Pel_Lg	6517.8175964714	0.0124520335298238	East Bering Sea	East Bering Sea
1	1963	Pel_SmMd	185652.564967429	0.354681905354907	East Bering Sea	East Bering Sea
1	1963	Sharks_Rays	1691.6911489967	0.00323190923919337	East Bering Sea	East Bering Sea
1	1964	Cephs	4.0235976988	5.38173980518029e-06	East Bering Sea	East Bering Sea
1	1964	Crusts	32517.3045797681	0.0434933324637057	East Bering Sea	East Bering Sea
1	1964	Dem_Lg	35371.6428627661	0.0473111361073556	East Bering Sea	East Bering Sea
1	1964	Dem_SmMd	417649.099268563	0.558624134515652	East Bering Sea	East Bering Sea
1	1964	Other	62.9297088612	8.4171267720859e-05	East Bering Sea	East Bering Sea
1	1964	Pel_Lg	10254.5707303602	0.0137159417058707	East Bering Sea	East Bering Sea
1	1964	Pel_SmMd	250086.114106042	0.334501233910326	East Bering Sea	East Bering Sea
1	1964	Sharks_Rays	1693.1539703323	0.00226466828956434	East Bering Sea	East Bering Sea
1	1965	Cephs	6.6327468423	9.05368398713186e-06	East Bering Sea	East Bering Sea
1	1965	Crusts	28510.8306845773	0.0389172174614877	East Bering Sea	East Bering Sea
1	1965	Dem_Lg	35389.2629598146	0.0483062614921946	East Bering Sea	East Bering Sea
1	1965	Dem_SmMd	480209.359620949	0.655484657117324	East Bering Sea	East Bering Sea
1	1965	Other	79.0985142861	0.000107969287721172	East Bering Sea	East Bering Sea
1	1965	Pel_Lg	5933.2222032867	0.00809883448459261	East Bering Sea	East Bering Sea
1	1965	Pel_SmMd	180778.972152204	0.246762875818883	East Bering Sea	East Bering Sea
1	1965	Sharks_Rays	1694.604103886	0.00231313065380925	East Bering Sea	East Bering Sea
